Timestamp,SampleIndex,Left_Knee_Angle,Right_Knee_Angle,Left_Hip_Angle,Right_Hip_Angle,Processing_Time_Ms
04:11:27.003,243,1.8,0.4,6.2,4.4,0.95
04:11:27.104,244,2.6,4.9,8.1,9.1,0.94
04:11:27.211,245,0.6,1.4,7.9,9.6,0.89
04:11:27.317,246,0.5,3.6,7.5,8.5,0.94
04:11:27.425,247,3.5,0.9,9.0,7.5,0.91
04:11:27.532,248,0.9,0.4,8.9,8.7,1.1
04:11:27.639,249,4.1,0.6,6.4,9.9,0.98
04:11:27.748,250,2.9,0.4,9.7,9.3,1.28
04:11:27.858,251,2.9,0.2,7.5,7.3,0.79
04:11:27.961,252,1.2,1.3,11.7,11.1,0.85
04:11:28.066,253,1.7,2.5,8.5,10.0,0.81
04:11:28.173,254,0.2,2.4,11.0,10.6,1.0
04:11:28.280,255,1.5,3.3,10.4,13.3,1.03
04:11:28.381,256,1.2,2.2,7.4,7.1,0.96
04:11:28.481,257,1.4,0.6,9.2,12.1,1.01
04:11:28.584,258,0.1,2.2,14.2,12.2,0.97
04:11:28.686,259,0.3,3.3,10.6,7.9,0.88
04:11:28.793,260,1.0,0.7,10.4,8.9,0.85
04:11:28.907,261,0.7,0.3,7.7,8.8,3.82
04:11:29.008,262,0.0,1.8,9.9,10.7,0.87
04:11:29.123,263,2.0,3.4,10.6,6.2,3.89
04:11:29.225,264,1.3,3.4,9.7,10.1,0.83
04:11:29.333,265,3.1,1.7,9.6,10.0,1.21
04:11:29.437,266,1.6,2.5,11.8,12.6,0.96
04:11:29.545,267,1.0,1.9,10.3,11.3,0.81
04:11:29.658,268,6.7,3.2,10.6,10.8,0.8
04:11:29.778,269,1.8,1.5,9.9,12.1,3.89
04:11:29.886,270,2.8,0.9,7.3,6.9,3.94
04:11:29.999,271,0.1,2.4,8.0,7.9,1.48
04:11:30.107,272,1.9,3.9,10.9,9.6,1.2
04:11:30.212,273,0.9,1.1,11.6,11.1,0.86
04:11:30.314,274,1.6,1.0,9.0,10.9,0.87
04:11:30.422,275,1.0,3.4,11.6,8.2,2.53
04:11:30.525,276,0.4,2.0,10.7,9.8,0.9
04:11:30.627,277,0.1,1.2,12.7,12.5,0.85
04:11:30.736,278,2.0,0.0,10.4,11.6,0.8
04:11:30.845,279,5.5,1.3,13.2,10.6,0.83
04:11:30.957,280,1.5,1.2,9.1,12.5,3.89
04:11:31.063,281,1.8,2.9,8.6,13.0,1.26
04:11:31.168,282,1.5,0.4,11.8,8.2,0.85
04:11:31.276,283,2.0,0.2,8.5,7.7,0.85
04:11:31.383,284,2.3,5.2,13.6,14.4,1.0
04:11:31.490,285,1.2,0.5,11.8,12.5,0.82
04:11:31.599,286,0.1,1.2,11.5,12.6,1.72
04:11:31.710,287,0.7,0.9,10.9,10.3,0.94
04:11:31.813,288,1.7,3.3,11.8,9.7,1.16
04:11:31.916,289,0.5,1.8,14.1,12.3,1.79
04:11:32.021,290,3.6,0.4,11.4,13.4,3.79
04:11:32.130,291,1.9,1.1,15.7,14.7,2.95
04:11:32.238,292,2.8,1.0,12.0,12.3,0.86
04:11:32.354,293,2.7,2.4,19.5,14.6,0.82
04:11:32.459,294,3.0,2.8,18.9,16.2,3.81
04:11:32.559,295,2.1,3.8,15.3,16.1,0.84
04:11:32.664,296,1.2,0.5,18.6,18.7,1.0
04:11:32.773,297,0.2,2.1,15.7,15.5,0.85
04:11:32.878,298,1.0,3.2,14.5,15.2,0.84
04:11:32.984,299,0.6,3.1,16.1,18.0,0.82
04:11:33.095,300,0.8,0.6,16.5,14.3,0.93
04:11:33.214,301,2.0,0.2,16.8,16.9,3.93
04:11:33.323,302,2.7,1.9,17.4,15.7,3.53
04:11:33.429,303,2.6,2.4,18.1,18.1,1.7
04:11:33.532,304,0.4,2.5,14.7,16.7,2.69
